,player_index,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,year,pid,Height,Weight,conference_A10,conference_ACC,conference_AE,conference_ASun,conference_Amer,conference_B10,conference_B12,conference_BE,conference_BSky,conference_BSth,conference_BW,conference_CAA,conference_CUSA,conference_GWC,conference_Horz,conference_Ind,conference_Ivy,conference_MAAC,conference_MAC,conference_MEAC,conference_MVC,conference_MWC,conference_NEC,conference_OVC,conference_P10,conference_P12,conference_Pat,conference_SB,conference_SC,conference_SEC,conference_SWAC,conference_Slnd,conference_Sum,conference_WAC,conference_WCC,conference_ind,player_yr_0,player_yr_42.9,player_yr_57.1,player_yr_Fr,player_yr_Jr,player_yr_None,player_yr_So,player_yr_Sr,player_pos_Center,player_pos_Forward,player_pos_Guard,Draft Pred,Draft Pick
291,Zach Cooks-2022-Hofstra,19,93.1,96.5,25.3,46.6,50.25,2.1,14.1,9.5,13.3,61,85,0.718,85,190,0.447,31,92,0.337,0.2,3.4,30.1,2.06299,101.217,1.4,2022,50648,178.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.2430445e-05,0
292,Isaiah Banks-2022-FIU,7,17.8,113.9,13.2,70.0,65.45,7.1,10.1,9.6,21.4,1,6,0.167,6,12,0.5,10,18,0.556,0.0,0.7,20.0,1.40439,103.074,4.8,2022,50655,196.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.237623e-05,0
293,Amorie Archibald-2022-Louisiana Tech,31,77.1,94.8,20.5,42.5,47.02,1.6,9.9,20.2,18.2,60,75,0.8,62,161,0.385,42,133,0.316,0.6,1.9,25.5,1.20337,96.5012,1.7,2022,50657,190.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.3357424e-05,0
294,Exavian Christon-2022-Louisiana Tech,31,48.9,99.8,10.2,42.6,46.46,2.0,7.3,8.2,12.8,18,23,0.783,13,37,0.351,20,64,0.313,0.7,2.0,22.8,0.0775008,86.3983,2.1,2022,50660,193.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.302183e-05,0
295,Trent Frazier-2022-Illinois,31,83.2,111.3,14.9,51.2,55.94,0.6,8.2,12.8,16.6,64,77,0.831,43,93,0.462,55,152,0.362,0.4,2.1,31.4,2.80029,109.508,3.0,2022,50663,184.070618,85.602791,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.295106e-05,0
296,Ricky Nelson-2022-UT Rio Grande Valley,15,44.2,102.1,11.0,41.2,50.19,1.4,6.0,18.8,19.0,19,27,0.704,8,25,0.32,4,9,0.444,0.0,2.1,79.4,0.136987,87.4903,3.0,2022,50666,185.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.234102e-05,0
297,Michal Kozak-2022-Weber St.,20,57.0,119.0,15.0,59.8,61.39,5.1,16.7,12.7,14.8,20,29,0.69,34,49,0.694,16,48,0.333,3.5,1.1,29.9,1.74964,107.371,3.8,2022,50671,203.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.261982e-05,0
298,Cedrick Alley Jr.-2022-UTSA,20,48.6,109.5,15.3,51.9,55.52,5.9,16.0,6.0,14.4,21,25,0.84,30,63,0.476,17,44,0.386,2.1,1.8,23.4,1.39041,103.98,3.0,2022,50679,184.070618,85.602791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.2513674e-05,0
299,Ethan Chargois-2022-Oklahoma,17,60.3,94.2,23.5,44.2,47.5,6.2,18.3,19.2,21.0,29,44,0.659,32,77,0.416,19,60,0.317,2.0,2.1,32.1,1.42728,102.311,3.5,2022,50682,206.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.00016874075,0
300,William Douglas-2022-Prairie View A&M,11,20.3,88.5,20.3,44.6,48.93,5.1,7.0,19.1,30.1,6,6,1.0,9,19,0.474,5,18,0.278,0.8,4.1,16.2,0.263344,91.3051,5.8,2022,50683,196.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.272119e-05,0
