,player_name,year,team,player_position,player_height,player_weight,process_status
4164,Kedrick Hogans,2009,North Texas,-1,-1,-1,Failure: Did not find player
4175,Imad Qahwash,2009,Central Arkansas,-1,-1,-1,Failure: Did not find player
4186,Joseph Fulce,2009,Marquette,-1,-1,-1,Failure: Did not find player
4191,Ben Drayton III,2009,Georgia Southern,-1,-1,-1,Failure: Did not find player
4201,Tray Woodall,2009,Pittsburgh,-1,-1,-1,Failure: Did not find player
4206,Steve Martin Jr.,2009,Chicago St.,-1,-1,-1,Failure: Did not find player
4259,Kenton Walker II,2009,Creighton,-1,-1,-1,Failure: Did not find player
4262,Ron Anderson Jr.,2009,Kansas St.,-1,-1,-1,Failure: Did not find player
4287,Fred Brown,2009,Kansas St.,-100,-100,-100,Failure: Other Error
4308,Jean Harris,2009,Brown,-1,-1,-1,Failure: Did not find player
4318,Robbie John Hummel,2009,Purdue,-1,-1,-1,Failure: Did not find player
4357,Tu Holloway,2009,Xavier,-1,-1,-1,Failure: Did not find player
4386,Larry Drew II,2009,North Carolina,-1,-1,-1,Failure: Did not find player
4400,Steve Silva,2009,UT Rio Grande Valley,-1,-1,-1,Failure: Did not find player
4401,Greg Jackson Jr.,2009,Delaware St.,-1,-1,-1,Failure: Did not find player
4403,Paul Graham III,2009,Florida Atlantic,-1,-1,-1,Failure: Did not find player
4405,Ryan Toolson,2009,Utah Valley,-100,-100,-100,Failure: Other Error
4407,Frantz Dorsainvil,2009,Oregon,-1,-1,-1,Failure: Did not find player
4408,Domas Kvedys,2009,Sam Houston St.,-1,-1,-1,Failure: Did not find player
4409,Patty Mills,2009,Saint Mary's,-1,-1,-1,Failure: Did not find player
4412,Dashawn Ford,2009,Jackson St.,-1,-1,-1,Failure: Did not find player
4413,Jeff Ayres,2009,Arizona St.,-1,-1,-1,Failure: Did not find player
4419,Paul Delaney III,2009,UAB,-1,-1,-1,Failure: Did not find player
4421,Jerome Adolphus Jordan,2009,Tulsa,-1,-1,-1,Failure: Did not find player
4429,Jonathan Belt,2009,Alabama A&M,-1,-1,-1,Failure: Did not find player
4430,T.J. Worley,2009,New Orleans,-1,-1,-1,Failure: Did not find player
4434,Tramaine Johnson,2009,Delaware St.,-1,-1,-1,Failure: Did not find player
4439,Willis Gardner,2009,Colorado St.,-1,-1,-1,Failure: Did not find player
4440,Mike Czepil,2009,Nicholls St.,-1,-1,-1,Failure: Did not find player
4441,Cornel Williams,2009,Long Beach St.,-1,-1,-1,Failure: Did not find player
4443,Jacobie Shivers,2009,Prairie View A&M,-1,-1,-1,Failure: Did not find player
4445,Dre Smith,2009,George Mason,-1,-1,-1,Failure: Did not find player
4446,Semaj Inge,2009,Temple,-1,-1,-1,Failure: Did not find player
4449,Nemanja Jokic,2009,Detroit,-1,-1,-1,Failure: Did not find player
4450,Will Graham,2009,Wright St.,-1,-1,-1,Failure: Did not find player
4451,Brian Chesnut,2009,Coppin St.,-1,-1,-1,Failure: Did not find player
4453,Jonathan Montgomery,2009,Northern Iowa,-1,-1,-1,Failure: Did not find player
4455,Joe Bailey,2009,Tennessee Martin,-1,-1,-1,Failure: Did not find player
4456,Michael Redell,2009,Western Michigan,-1,-1,-1,Failure: Did not find player
4461,Rodrigo P. DaSilva,2009,Texas Southern,-1,-1,-1,Failure: Did not find player
4464,Dave Marek,2009,Southern Utah,-1,-1,-1,Failure: Did not find player
4465,Nigel Peter-Denman,2009,Denver,-1,-1,-1,Failure: Did not find player
4468,Malik Cooke,2009,Nevada,-1,-1,-1,Failure: Did not find player
4471,Rickey Claitt,2009,Oregon St.,-1,-1,-1,Failure: Did not find player
4473,Edward Zajac,2009,Quinnipiac,-1,-1,-1,Failure: Did not find player
4475,Darryl Demps,2009,Florida A&M,-1,-1,-1,Failure: Did not find player
4476,Mike Davis Jr.,2009,UAB,-1,-1,-1,Failure: Did not find player
4480,Michael Anderson Jr.,2009,Missouri,-1,-1,-1,Failure: Did not find player
4483,Zachary Wing,2009,Fordham,-1,-1,-1,Failure: Did not find player
4488,Alex Tolbert,2009,Alabama St.,-1,-1,-1,Failure: Did not find player
4489,Brady Richie,2009,IPFW,-1,-1,-1,Failure: Did not find player
4490,Dominic (Bo) King,2009,Presbyterian,-1,-1,-1,Failure: Did not find player
4491,Rodney Williams Jr.,2009,Western Illinois,-1,-1,-1,Failure: Did not find player
4492,Aubrey McAlpine,2009,Hampton,-1,-1,-1,Failure: Did not find player
4499,Carey Butterworth,2009,Florida Gulf Coast,-1,-1,-1,Failure: Did not find player
4501,Darnell Lindsay,2009,Tennessee Tech,-1,-1,-1,Failure: Did not find player
4506,Champ Oguchi,2009,Illinois St.,-1,-1,-1,Failure: Did not find player
4507,Byron Mullens,2009,Ohio St.,-1,-1,-1,Failure: Did not find player
4508,Shaun Curtis,2009,Utah Valley,-1,-1,-1,Failure: Did not find player
4511,Jimmy Williams Jr.,2009,South Carolina St.,-1,-1,-1,Failure: Did not find player
4513,Kal Bay,2009,Idaho St.,-1,-1,-1,Failure: Did not find player
4515,Roy Hinson III,2009,Gardner Webb,-1,-1,-1,Failure: Did not find player
4517,Jeremy Havard,2009,Houston Baptist,-1,-1,-1,Failure: Did not find player
4522,Drew Ferry,2009,Valparaiso,-1,-1,-1,Failure: Did not find player
